Rank,Title,Year,Runtime,Certificate,Rating,URL
Million,Dollar Baby,2004,2h 12m,12A,"8.1
 (768K)",https://www.imdb.com/title/tt0405159/?ref_=chttp_t_188
Children,of Heaven,1997,1h 29m,PG,"8.2
 (90K)",https://www.imdb.com/title/tt0118849/?ref_=chttp_t_189
My,Neighbour Totoro,1988,1h 26m,U,"8.1
 (434K)",https://www.imdb.com/title/tt0096283/?ref_=chttp_t_190
Ratatouille,,2007,1h 51m,U,"8.1
 (951K)",https://www.imdb.com/title/tt0382932/?ref_=chttp_t_191
Raging,Bull,1980,2h 9m,X,"8.1
 (411K)",https://www.imdb.com/title/tt0081398/?ref_=chttp_t_192
Gran,Torino,2008,1h 56m,15,"8.1
 (865K)",https://www.imdb.com/title/tt1205489/?ref_=chttp_t_193
12,Years a Slave,2013,2h 14m,15,"8.1
 (789K)",https://www.imdb.com/title/tt2024544/?ref_=chttp_t_194
The,Grand Budapest Hotel,2014,1h 39m,15,"8.1
 (976K)",https://www.imdb.com/title/tt2278388/?ref_=chttp_t_195
Memories,of Murder,2003,2h 11m,15,"8.1
 (270K)",https://www.imdb.com/title/tt0353969/?ref_=chttp_t_196
How,to Train Your Dragon,2010,1h 38m,PG,"8.1
 (899K)",https://www.imdb.com/title/tt0892769/?ref_=chttp_t_197
Before,Sunrise,1995,1h 41m,15,"8.1
 (380K)",https://www.imdb.com/title/tt0112471/?ref_=chttp_t_198
Blade,Runner,1982,1h 57m,AA,"8.1
 (884K)",https://www.imdb.com/title/tt0083658/?ref_=chttp_t_199
"Monsters,",Inc.,2001,1h 32m,U,"8.1
 (1.1M)",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_200
Gone,Girl,2014,2h 29m,18,"8.1
 (1.2M)",https://www.imdb.com/title/tt2267998/?ref_=chttp_t_201
Spider-Man:,No Way Home,2021,2h 28m,12A,"8.1
 (1M)",https://www.imdb.com/title/tt10872600/?ref_=chttp_t_202
Jaws,,1975,2h 4m,A,"8.1
 (741K)",https://www.imdb.com/title/tt0073195/?ref_=chttp_t_203
Le,Mans '66,2019,2h 32m,12A,"8.1
 (576K)",https://www.imdb.com/title/tt1950186/?ref_=chttp_t_204
In,the Name of the Father,1993,2h 13m,15,"8.1
 (203K)",https://www.imdb.com/title/tt0107207/?ref_=chttp_t_205
Wild,Tales,2014,2h 2m,15,"8.1
 (239K)",https://www.imdb.com/title/tt3011894/?ref_=chttp_t_206
The,Gold Rush,1925,1h 35m,U,"8.1
 (128K)",https://www.imdb.com/title/tt0015864/?ref_=chttp_t_207
Sherlock,Jr.,1924,45m,U,"8.1
 (66K)",https://www.imdb.com/title/tt0015324/?ref_=chttp_t_208
Mary,and Max,2009,1h 32m,12A,"8.1
 (202K)",https://www.imdb.com/title/tt0978762/?ref_=chttp_t_209
The,Deer Hunter,1978,3h 3m,X,"8.1
 (387K)",https://www.imdb.com/title/tt0077416/?ref_=chttp_t_210
The,Wages of Fear,1953,2h 36m,12A,"8.1
 (74K)",https://www.imdb.com/title/tt0046268/?ref_=chttp_t_211
Chainsaw,Man - The Movie: Reze Arc,2025,1h 40m,15,"8.3
 (61K)",https://www.imdb.com/title/tt30472557/?ref_=chttp_t_212
The,Chaos Class Failed the Class,1975,1h 35m,,"8.4
 (31K)",https://www.imdb.com/title/tt0252488/?ref_=chttp_t_213
The,General,1926,1h 18m,U,"8.1
 (105K)",https://www.imdb.com/title/tt0017925/?ref_=chttp_t_214
Logan,,2017,2h 17m,15,"8.1
 (930K)",https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215
Rocky,,1976,2h,A,"8.1
 (693K)",https://www.imdb.com/title/tt0075148/?ref_=chttp_t_216
A,Silent Voice: The Movie,2016,2h 10m,12A,"8.2
 (145K)",https://www.imdb.com/title/tt5323662/?ref_=chttp_t_217
